x1,x2,x3,y
3.3327,1.4834,3.5506,42.5170
7.8923,3.1278,3.5070,54.8327
3.5716,1.6303,2.2788,39.6419
5.8614,0.8302,1.9250,44.4688
1.5781,2.4456,3.1704,32.7561
4.7420,1.2410,2.6806,47.3363
7.2597,5.1404,4.0624,50.3190
4.4234,0.0354,2.4070,45.3203
9.5809,2.5141,3.9901,59.7460
5.9152,3.6195,1.8822,40.3259
1.2612,2.0168,3.7166,40.4335
4.6389,0.9903,2.8696,48.2243
1.2427,2.3641,3.2576,37.2934
1.2439,3.8565,1.5428,23.1088
4.4119,1.2700,2.3074,42.3859
7.8511,2.2748,4.0080,59.7947
1.7372,0.1163,3.1577,39.4398
9.9992,2.0998,3.6006,64.3673
7.7881,5.6977,1.7974,38.1070
1.1834,0.9143,1.5049,27.9970
2.9617,4.1968,4.0676,38.5755
2.5101,3.6435,3.9917,42.9842
9.6825,0.6486,1.1027,55.7023
3.8076,4.0641,4.8327,44.9341
1.6840,4.1437,3.5090,36.2255
1.9171,4.6349,4.4012,37.6670
9.8546,4.6958,2.3888,51.5169
4.8554,2.2234,3.0238,43.1273
8.4010,0.6332,4.8432,71.4228
6.7203,4.9722,3.8292,46.3723
9.6893,1.6205,4.2328,68.2739
5.8436,2.9010,2.7423,45.2521
8.6654,4.9844,1.3467,41.1908
8.9347,1.4632,2.8588,56.6702
1.2583,5.1057,1.7274,20.9527
2.9091,4.7870,2.3614,33.2304
3.4864,0.0609,4.7923,52.1753
1.7705,4.3204,2.9543,31.5993
6.8131,2.9449,4.1717,52.3487
1.8375,1.3296,3.7671,40.7760
5.2593,3.1855,2.7020,45.3941
7.7134,1.9847,3.8114,58.0284
2.0859,1.1555,1.4782,32.8467
5.8228,4.5731,1.7406,37.5075
7.5213,5.8596,3.0985,48.5875
3.5470,0.6032,1.7765,38.4944
1.1273,3.2048,2.0972,28.7039
9.7687,3.3202,3.7897,64.4395
5.4179,5.2363,3.2963,45.1337
5.2246,2.6428,1.7375,43.5888
5.2996,4.9327,2.6028,40.5572
1.6667,3.7767,1.2144,25.0418
3.7345,5.9635,1.4738,28.7194
7.8800,3.6379,4.1630,57.5491
5.0546,2.6563,4.4407,54.4583
9.9103,1.8323,3.4841,60.9522
9.5283,1.2467,1.8441,53.2251
6.9439,0.9423,1.6953,47.5536
5.0545,3.5629,2.1650,38.9296
3.0833,4.2417,3.8120,36.9025
9.3152,4.7270,3.5002,56.8615
6.9506,5.6020,2.7006,40.3745
9.1757,4.9598,1.2856,43.2374
2.4933,1.8457,3.9958,42.2708
2.1192,4.1321,3.7989,36.3928
9.4841,3.0028,2.9752,57.8216
4.8883,1.9339,2.0015,41.0805
1.8219,5.7715,4.3438,31.2714
9.9962,4.0337,2.0780,50.0774
1.3621,4.5376,2.8820,26.8384
2.6334,3.5120,3.5391,34.9453
5.4255,0.5475,2.3918,45.6520
8.7196,1.9788,3.7747,63.6545
3.5940,5.6712,4.2543,38.6161
3.8307,1.9396,4.8807,51.3343
4.6376,3.0876,4.9525,51.1287
4.7192,1.1255,2.4471,42.0501
7.8080,3.7525,4.0400,56.8452
9.3491,2.6287,3.7930,64.1728
2.0928,5.8389,3.4355,31.8571
5.9576,3.3135,1.3728,39.2816
9.9303,5.4776,2.8458,55.8600
5.4854,4.2996,3.0355,45.5767
3.4608,5.0083,4.9210,45.0704
4.4523,5.5312,3.0330,39.9892
8.9139,5.1842,2.1050,47.4135
9.4082,3.0464,4.2822,61.5371
3.5456,1.7913,3.3478,46.1124
2.3374,3.2315,2.3805,32.4356
5.9673,3.2606,2.8214,44.9238
7.2775,3.4308,1.9342,45.8061
7.9799,0.2619,3.9788,62.2959
4.4747,3.9821,4.2830,43.3653
9.8274,2.9720,1.1481,46.6074
8.8273,5.2451,2.7612,49.7593
5.7336,2.7416,3.8898,48.7038
2.3893,2.8169,4.8768,47.4813
4.0471,4.1562,3.5993,44.1597
8.7341,2.2801,2.2666,49.8363
7.4685,4.5564,4.4895,56.4741
6.6804,5.5256,4.9897,54.1071
7.7209,2.6038,1.3938,42.2152
4.9931,4.1640,4.6137,46.6957
1.4139,4.7769,2.1735,24.7629
5.7805,3.3956,4.1701,52.1948
2.5299,0.4738,4.4834,47.9746
9.2155,0.8587,2.8446,59.1376
3.2858,1.5320,1.0376,33.4298
7.0985,0.9479,2.7669,49.1822
4.1101,3.5254,3.5558,41.7092
8.6077,1.1953,2.5388,56.8212
5.3489,1.4232,3.2877,44.0460
3.6571,5.8677,3.6329,34.5592
3.4703,3.3956,3.7432,42.3146
6.4577,2.9804,4.6166,55.8614
3.5757,4.7932,3.4283,36.5761
6.5880,4.0666,3.8837,53.3271
6.9326,5.0300,3.5130,50.6714
3.7804,2.6449,3.3183,40.9981
7.5912,0.5408,2.1804,52.5746
2.1894,3.2364,4.8860,43.2823
5.7777,5.4809,4.3219,47.8172
5.3366,4.8389,3.9862,49.9919
4.0484,0.6910,4.8516,58.3245
8.7413,4.3453,4.9198,66.1641
9.7054,4.8275,2.4631,51.8614
5.8292,2.7287,3.6913,50.1626
7.0511,3.5074,4.2897,56.4780
3.1044,0.1501,4.5369,51.3466
6.0527,5.4915,1.8855,40.0392
9.1845,1.8131,2.6332,58.5349
2.2580,5.6776,2.2175,25.6027
8.9853,0.8140,2.8146,59.4428
7.0344,4.4588,4.7839,53.2276
2.3907,2.4893,1.3961,30.7764
5.4041,2.4487,4.8061,57.2292
4.9904,5.7033,4.4218,46.0665
1.8942,4.1141,3.1779,35.2106
4.5833,1.1389,1.4886,38.6537
8.6323,2.7283,3.6511,56.9989
1.1922,4.7208,1.9743,21.9102
2.1333,3.3875,1.2744,26.1268
2.9436,5.2182,2.3142,28.6090
2.3280,5.4032,1.0113,21.9384
2.1699,1.5039,1.6980,31.1232
6.9495,0.1547,1.0594,46.2029
3.9139,1.0455,1.2096,34.2708
7.6755,3.1565,3.9827,53.1952
5.6191,0.6543,3.0154,51.1415
9.5087,0.2602,4.1329,70.2987
5.1224,5.7842,1.2433,28.2141
5.3108,2.4097,3.7444,45.4572
1.6614,0.4847,3.4332,41.4487
1.5911,1.6501,3.5323,37.4422
9.9516,3.1833,2.8149,57.0319
6.4488,0.5951,3.8071,58.9384
7.9207,4.3250,1.8601,42.0952
5.0640,1.3710,2.3557,42.2423
1.8558,2.5606,3.6604,39.3458
4.3687,0.9158,4.6919,58.1793
1.8391,0.5794,3.9552,45.6804
8.3059,3.3382,3.3459,53.3141
2.1001,2.1216,3.6614,39.6889
7.7526,5.2086,3.8842,54.9175
4.1648,3.4675,1.8510,34.2798
6.9106,1.3455,1.4329,46.2851
7.8635,3.4446,4.2289,56.2646
8.6064,5.8473,4.2737,53.3239
1.2363,5.5745,4.3178,32.2709
3.4070,1.0825,3.8108,46.4499
1.0550,5.2192,3.2653,30.7518
4.6071,0.8512,3.5327,53.0325
2.9362,2.5190,2.3636,36.2225
4.3305,4.3296,4.1073,44.1011
1.4735,0.9445,3.4714,39.5410
7.0657,1.6326,3.6478,54.0189
3.4585,4.5297,1.4553,28.7869
4.8692,1.6995,3.7139,46.8224
1.4088,2.3716,3.3973,36.7185
1.0692,1.8085,1.8449,29.8150
3.9531,0.0464,3.9881,52.8735
2.5813,2.2812,3.8147,38.4685
8.2558,0.4325,4.4471,66.1315
1.3807,0.1124,4.6846,49.0366
6.1606,4.2570,2.6708,41.3259
2.0366,0.1251,2.2991,38.2342
8.4882,5.5186,1.3525,38.5580
8.6004,1.4599,3.3555,57.6738
3.7925,2.0371,2.3323,38.6635
2.5132,3.0629,1.4561,24.3544
4.1444,4.3643,4.2758,44.8118
8.3353,1.4176,1.5858,50.9832
7.8419,3.9331,1.7086,46.7712
7.9556,2.9647,4.0178,58.1618
9.3174,3.3870,3.5412,56.7051
6.6207,5.1855,3.5089,47.4739
4.9799,1.8169,2.0987,42.4105
1.5055,3.0440,2.2416,28.9832
8.4853,0.4604,4.4570,67.0237
8.6976,3.6901,3.0283,51.3810
8.1264,5.3753,2.7989,48.2135
8.2883,3.9110,2.2861,47.3431
1.5569,0.6210,4.5965,46.5856
4.0909,4.2859,3.0182,39.4977
4.9398,2.6365,3.0910,46.3353
2.4287,2.2371,2.1316,31.9426
6.3810,4.7354,3.5892,48.6042
1.5932,0.5670,3.7135,41.5301
6.9091,5.4381,4.4931,55.4511
4.0003,3.4964,1.5657,29.7611
7.2863,2.3517,3.3802,58.2992
9.4420,1.8575,2.5067,58.0927
7.0310,4.9738,3.9551,47.3825
7.1687,3.1584,3.5841,51.4297
4.2634,1.0816,1.8568,40.7883
9.5290,2.9176,1.9062,52.8030
8.5999,0.6068,4.0835,65.6131
8.5161,5.3021,1.1510,38.9306
2.1794,2.2603,1.6490,33.1786
8.4821,4.6266,4.2362,58.4602
4.6977,4.0582,1.9501,37.5783
4.9978,1.7096,3.9941,49.1995
3.7852,4.8517,2.8761,36.8120
8.5160,2.2070,4.7885,67.2918
3.5359,2.2912,3.1098,41.3573
9.6964,4.9013,4.2050,61.2905
6.7706,5.2447,3.2182,47.0724
1.9233,5.0754,4.4047,36.9008
3.4551,5.4318,1.5894,30.7610
4.9373,5.6785,1.8882,31.1273
1.2400,0.3195,3.0080,38.6819
3.1220,5.9672,2.4997,34.4803
8.5526,3.8998,4.1655,59.5003
2.2384,1.7213,4.3190,44.5045
7.3498,2.6916,1.0210,40.7401
1.7130,1.5355,4.3399,40.6938
5.7499,0.6671,2.1524,45.7045
3.7104,0.2865,2.6793,44.5566
1.9977,5.4309,3.3870,29.9391
1.1479,3.0923,1.9678,28.4111
6.5333,1.4434,2.6663,51.7064
6.9793,0.5137,4.8986,66.6301
5.5659,5.9300,3.2166,41.9292
4.5141,2.8208,3.5427,47.1331
1.1462,4.7311,2.3792,25.6905
7.5965,3.7695,4.0860,55.5132
1.3990,3.2761,4.2540,37.1245
2.5758,4.6749,2.8585,31.7191
8.3035,0.3786,4.1048,62.0149
5.1191,1.7607,1.1752,37.8949
9.4003,3.0923,4.9565,67.3548
5.8873,1.5199,4.0132,55.3676
8.0276,5.1948,2.3277,47.0839
2.1203,2.2081,4.5579,44.5560
4.4798,5.8423,2.9848,32.4396
5.4777,5.5459,3.0771,41.7450
1.7103,3.6147,4.2894,36.2903
5.9093,1.9273,1.3203,39.5661
6.4236,2.5567,3.7591,51.5027
4.1639,0.2541,4.4801,50.1220
3.4710,5.8802,4.7916,48.2832
1.6754,3.8251,2.4532,30.5941
9.5751,0.8567,3.4303,61.3008
8.0318,0.2088,1.2689,50.3630
4.4457,3.4035,3.4204,41.7522
7.1116,5.6929,2.4881,42.6036
5.7651,2.3882,3.5982,47.9066
3.2465,0.6807,3.9427,46.1130
6.0551,1.5707,2.0412,45.2415
5.0165,5.9782,2.1423,35.8167
2.1037,5.1170,2.8082,28.9533
9.0881,2.6707,1.3512,47.0755
3.8763,2.0846,1.2598,30.2413
5.8795,5.3480,4.4054,47.8814
6.7393,4.7622,3.0350,41.4201
2.0923,1.2059,1.5555,31.7584
5.9862,2.2135,4.2146,54.1580
5.9648,3.6717,1.3449,34.3980
7.4698,3.1542,4.0767,63.8475
8.4101,0.4425,4.8895,67.4237
7.1210,2.0671,4.5118,58.0827
8.0224,3.8388,1.7279,47.1104
9.1964,0.3325,1.4966,53.9595
2.3771,0.9879,2.2906,36.1429
9.4681,5.3696,4.3837,57.8006
3.2554,3.8103,3.2034,39.3624
5.8013,3.0154,1.6745,40.9482
9.4745,0.9252,3.6349,64.2475
8.5828,3.3817,4.3009,57.8094
1.2554,0.2728,3.5658,38.4783
7.9026,2.4995,3.5560,55.1423
5.4823,3.7630,2.1587,41.9269
8.2422,4.1099,2.1897,46.8374
1.6568,0.3595,2.7584,36.6989
6.4599,1.8755,3.8735,55.1296
7.6078,5.1647,4.9015,58.3121
6.0549,1.9147,2.8659,50.0738
3.4072,1.4875,1.3872,33.6907
6.5384,1.4896,4.4612,60.8488
2.4373,1.9646,3.3107,38.6332
5.4844,3.0883,2.9950,48.3859
3.7769,0.1391,4.7809,49.7434
2.9363,2.1174,1.2022,30.4065
5.4540,5.2940,3.6170,41.4206
8.6246,2.5856,4.5298,63.8075
7.5476,4.5831,2.4637,43.6866
2.7519,3.3193,1.2941,29.6079
5.5383,4.5864,2.1189,41.0502
2.0693,5.8505,2.5756,27.1781
8.1541,2.0345,4.7558,64.2137
5.5821,3.0005,1.1812,35.3195
2.2333,1.9982,2.8950,34.5468
5.6396,1.9678,3.4523,50.9734
2.4625,5.9437,3.9573,34.7352
8.4546,3.1940,3.8350,59.8757
3.6981,4.8945,2.4734,31.0971
6.2533,4.7805,3.9013,43.7432
7.1924,0.1599,2.8984,59.1703
7.9855,3.4658,3.8856,55.7347
6.2517,1.0231,3.5161,51.4884
2.3300,4.0844,1.1263,21.8310
9.5338,0.6594,1.0757,52.2150
7.2145,2.4623,4.0999,58.2740
9.2847,5.2369,3.9433,58.1049
2.8661,1.9503,3.6489,43.3580
5.7293,1.8825,1.6927,43.4454
4.1886,4.6319,3.8837,41.7600
6.7898,4.1599,3.4403,49.7851
6.0228,1.3492,4.8916,61.2350
3.6785,1.7340,1.8291,36.2257
4.1392,5.6022,4.1816,40.4442
3.4611,0.7312,3.7065,43.3784
8.3654,5.7277,4.2185,58.5745
3.6141,1.7258,3.8566,45.4432
3.3080,2.8745,1.8083,34.9937
5.8472,5.5981,3.7847,47.0680
6.2815,1.4547,3.6793,56.4322
5.7794,3.8277,1.2100,33.0134
1.9049,4.6246,1.0207,23.2167
5.9532,5.5746,2.6276,43.6168
5.2970,1.1967,4.8557,56.1461
3.8905,3.8754,4.6317,49.2907
5.8164,4.3387,4.7467,53.8978
9.2191,1.0504,4.5290,70.2204
9.9745,2.3820,2.9815,64.0790
9.4295,5.7728,4.7042,60.4587
6.1117,0.6438,4.9320,61.5164
3.5611,5.9346,3.1732,29.9593
8.6595,2.8081,1.7712,49.3992
2.0138,0.9750,2.8357,38.2112
7.6296,4.7446,3.2711,51.0376
7.8155,1.0530,4.4246,66.4531
5.6375,0.5204,3.6770,51.9989
2.6630,0.8437,2.2944,37.7929
3.1197,4.5225,4.8161,45.9494
3.7175,4.3373,1.0457,25.9586
1.5591,0.7093,2.2272,31.8678
4.6487,3.0151,4.5805,50.3218
2.0567,5.4968,2.1802,24.4242
6.5316,1.3148,1.5343,46.5337
6.4517,2.4951,3.1969,53.0734
5.2375,3.2251,3.6564,47.8414
7.7927,5.2388,1.3275,41.0163
5.0207,4.2226,1.3124,32.5222
5.9288,3.0329,3.2908,47.8945
2.3487,1.9687,3.0814,39.5257
6.2483,0.5456,3.0415,53.7660
8.2782,2.7206,3.0530,53.9940
5.1614,4.8415,3.8931,45.4518
4.5635,4.8987,3.9832,43.2726
4.1008,0.3826,4.9765,56.1320
9.4112,0.4141,4.7351,73.0912
7.9207,4.5950,4.9133,59.5452
6.8129,2.5222,4.9714,57.2659
9.1609,2.2539,3.7309,64.3470
6.9561,3.2358,3.6141,51.7446
5.8353,3.1731,3.9114,51.7418
3.0042,0.0208,1.0909,33.5303
5.9000,3.1916,4.2934,55.6394
3.2276,2.0770,2.1026,39.0104
2.0156,4.8569,2.6770,28.4863
7.8945,5.3025,1.0626,38.6426
1.3022,3.5867,3.8131,36.6864
1.4381,4.4432,2.6091,28.6106
8.7736,0.3387,3.0156,62.1144
3.6034,4.8947,3.9261,39.5184
7.0528,1.9240,2.2071,50.7964
2.2893,3.9613,1.8842,28.1450
9.5367,5.2783,4.6463,61.9590
6.6339,2.5632,2.9825,54.3825
7.0421,4.7148,2.2749,42.2456
4.7469,0.8953,2.5058,45.0422
8.6441,1.8044,3.8303,59.2103
8.2520,5.4884,3.2495,52.5278
2.2068,1.4572,1.8133,32.2597
6.8204,5.5334,4.3885,54.0219
2.7143,1.6108,3.6947,45.1577
6.4263,5.2417,1.7527,37.7944
6.0297,2.8764,4.4779,51.5238
3.9967,5.7421,1.0613,30.5352
2.0558,5.9974,2.9157,26.7830
3.1833,3.6264,1.8181,33.5703
7.9796,2.2840,3.1346,53.7554
4.2333,1.5694,3.0513,43.9064
9.8319,2.8169,4.3589,65.6719
9.2290,2.2242,2.6557,55.2103
2.3133,1.5646,4.7390,46.9643
6.2123,2.5055,1.6096,40.7337
8.5003,2.9958,3.6184,59.3154
7.1636,1.5440,4.2864,62.6370
5.4154,1.0094,4.1799,54.5282
2.5234,4.3219,2.9533,35.8595
6.7763,0.3524,1.1353,44.0538
8.6203,5.6711,3.6729,53.0684
8.5829,1.3886,3.8287,60.0608
1.0823,3.0344,2.4928,27.4533
6.5487,2.8992,2.9514,46.6046
1.0595,3.3099,1.0474,20.2201
9.7973,0.1029,4.2526,70.1548
7.0663,4.8370,4.6391,55.4245
2.3401,1.1516,3.1058,40.8068
8.3369,1.6039,2.5876,53.3151
6.0850,5.9414,1.9034,37.3505
7.1564,5.0872,3.6149,51.4927
1.8415,2.2756,3.2108,34.4015
1.5050,0.0567,1.6855,30.6958
8.0594,3.3951,4.4318,59.5490
1.8583,3.1690,1.1702,26.0543
8.9880,2.8530,1.1862,51.0972
1.6691,5.5535,4.5972,36.4099
9.3589,1.8869,4.8459,68.3313
6.2833,4.5135,3.8508,48.4348
2.4621,1.4428,4.3386,46.6708
4.5024,5.3792,2.3269,34.4222
9.8963,4.3450,3.0032,54.9172
9.7689,0.3222,2.7484,63.3693
7.9211,5.7292,2.5868,43.6898
7.9620,0.1778,2.0933,56.3175
4.2023,5.6469,2.7274,34.8420
7.1173,3.9640,1.3428,37.5085
7.4180,0.4922,1.6169,46.9277
7.4051,3.8034,3.9586,54.0154
1.0468,1.8496,2.4397,32.5067
3.4279,0.7950,1.7496,35.0276
4.6724,0.1576,2.4157,46.5841
1.8376,3.5883,2.2977,28.5768
4.4902,0.5082,4.6045,56.5739
9.1469,5.8690,3.2878,53.0895
2.2496,1.8068,2.9725,39.7109
1.5694,2.6081,2.6844,32.1179
3.2653,1.4795,3.5001,44.4166
6.3443,1.1733,1.4279,42.1837
3.9900,3.7212,4.2163,50.2008
3.9659,2.0084,4.2619,52.6258
2.2251,1.9240,4.7891,42.5939
2.8077,1.8851,4.8583,50.5725
7.2546,2.9460,3.3035,52.0652
3.1818,2.2563,4.2660,45.5934
6.0747,3.5534,3.1825,47.6427
7.1354,3.3006,4.8120,55.8162
4.9461,1.7480,3.7713,50.9488
8.3707,4.7739,2.6366,45.9139
3.1782,3.9520,3.8609,40.9477
8.1017,0.4438,4.9628,66.2245
5.5595,5.5224,3.7668,44.7314
5.8928,4.7443,2.4381,42.3460
6.7436,0.5099,4.0758,58.0753
6.9184,2.1301,3.5880,59.9492
7.0972,2.3977,4.0107,58.1256
9.6915,2.5827,1.0422,48.9886
5.6692,3.4831,3.3009,48.9336
5.0120,2.3468,4.0894,48.7886
4.1047,0.1474,1.4182,37.8654
4.7438,5.7704,1.4643,31.0416
3.8070,2.7320,1.8275,34.6918
5.3463,2.8570,2.7527,43.5129
3.7024,4.8611,1.4603,27.0309
8.6426,3.8878,3.7086,59.6407
3.1952,1.0467,1.6405,40.6300
6.0386,5.7508,1.9274,35.1949
6.7643,2.5928,1.1168,41.4087
6.5270,1.1839,3.3688,51.6646
2.8521,4.5140,4.2349,42.7117
1.5631,0.6105,4.4879,46.5932
5.1180,1.5741,4.4505,56.0973
5.7494,3.8347,3.3879,44.4830
4.1313,5.0731,3.4695,37.8828
8.3236,4.2359,2.1898,46.8148
2.2055,0.7072,2.2215,35.7553
2.6474,4.1606,3.0433,33.8887
4.4534,1.1145,3.5420,49.3765
7.2409,3.8716,4.9996,56.7945
2.2627,1.8875,2.8040,36.2485
1.4825,2.1542,1.0383,27.7346
9.6745,3.0326,2.9799,60.6378
7.1623,2.4938,4.3596,57.4683
1.2777,4.5663,2.1684,25.6013
3.4737,3.2257,1.6728,29.1570
7.8933,3.2984,1.4528,45.2203
2.0279,4.6507,4.2931,35.7556
1.3745,4.3139,3.1854,34.1839
9.9080,0.6145,4.3203,70.1106
9.9938,2.6984,2.3943,54.8748
8.3506,2.6344,4.9758,64.8978
8.2963,3.5275,2.4025,48.3947
7.3968,3.7966,1.6639,43.7891
2.8625,0.3561,2.4033,40.9358
3.5298,3.2326,2.2946,35.1265
3.4061,5.1481,4.9420,43.0472
7.1137,0.5714,4.8511,65.4504
9.9324,5.2023,1.5076,42.5611
8.7947,1.4981,3.8456,64.2188
7.0861,2.9368,3.3097,48.9506
3.4185,2.4854,2.8080,36.5737
1.8379,3.0937,2.1129,26.8242
9.4270,2.2144,4.8010,67.7916
7.9672,4.3963,3.9237,54.8521
5.1260,3.9849,2.4329,41.8527
2.9605,2.5779,1.8474,33.9210
3.4168,4.9701,2.3510,29.7846
5.3680,2.0624,3.7302,49.4146
1.4357,0.5974,4.1356,42.7928
8.7189,2.6477,1.0027,46.1335
9.6223,1.2139,3.7544,67.1692
2.4308,5.5964,2.0961,28.7163
6.8913,1.5023,2.4874,51.0961
4.5671,1.8331,3.7978,48.3402
3.1073,3.9329,3.8148,42.8065
2.1943,1.3571,3.7199,42.4838
1.0836,4.1736,4.2684,38.3351
2.1896,0.4250,2.5323,38.2244
7.5769,0.6146,2.2534,53.5650
7.9611,4.5189,1.5326,41.7698
9.9365,0.8571,3.1220,66.5993
4.9609,4.3346,3.5123,43.9293
2.3624,2.4703,3.7463,41.4207
1.9042,4.5147,3.3583,32.8183
4.4563,5.7795,2.2580,34.1280
1.7582,3.3204,3.4000,36.8741
6.4683,4.6738,3.7619,50.5584
3.7148,3.1065,3.0381,37.7278
7.7306,1.7733,1.2183,49.7228
5.4540,0.6765,2.9983,47.0239
6.3454,3.1697,4.9108,61.8969
2.1878,5.1649,3.2735,32.2176
4.2887,4.0977,4.0509,48.2166
1.1502,0.4052,2.0487,31.9155
1.3584,0.3628,4.1572,41.3231
5.5094,2.4926,3.8072,50.4625
1.7419,3.2194,3.4642,35.8119
5.6017,1.2192,4.2322,57.2251
5.8275,2.3444,3.5372,52.0110
1.5950,4.1921,3.9198,33.3931
8.6182,0.3474,1.3449,49.8695
6.4795,1.8557,3.9668,56.4404
7.6659,0.7167,3.8316,60.3635
9.5771,3.1380,4.1319,61.9738
7.4869,1.0018,1.5077,48.3032
8.9777,4.6286,1.1174,41.7109
8.2640,1.6319,1.2555,47.1906
1.6936,2.7312,2.4405,29.2718
5.4965,3.4013,2.4708,42.0106
6.1652,4.3367,1.9136,40.3220
5.5794,0.2642,4.4517,58.5457
4.4468,0.9005,4.7246,57.4209
8.7174,3.3172,4.6558,62.6744
3.8962,2.4975,3.8812,44.0175
3.4413,0.4673,2.4912,37.5357
2.6141,4.8260,4.9257,42.7632
9.5867,0.4136,2.8604,61.4566
3.9457,3.3185,1.0319,34.1411
2.8060,3.3828,2.2156,31.1289
6.3252,2.9602,4.0905,51.9512
2.7588,5.4027,4.0419,37.6877
4.6903,1.3980,2.3857,43.4296
8.5562,5.2632,4.8040,62.0888
8.6411,4.3633,1.4158,44.3024
5.7683,1.4290,2.9681,55.6202
7.4049,0.5582,4.6851,67.0262
9.0756,3.1186,3.8034,56.2354
1.7641,0.5735,1.5341,35.7077
8.3797,0.4490,3.2713,55.8605
3.1309,1.5659,2.2600,39.6116
8.2074,4.2044,3.9414,55.2596
1.6722,1.2163,4.1197,44.6327
